,p52,n,NOC,Title ,Additional Comments
1,,2194,,,
2,prefer not to say,93,,,
3,self employed,33,,,
4,retired,32,,,
5,teacher,29,4031,"Secondary School Teachers, 4032: Elementary school and kindergarten teachers. ",
6,sales,25,6421,Retail salespersons. ,
7,engineer,24,2131,"Civil Engineers, 21312: Mechanical Engineers, 2133: Electrical Engineers, 2134: Chemical Engineers",
8,student,23,,,
9,truck driver,17,7511,Transport Truck Drivers ,
10,carpenter,11,7271,Carpenters,
11,nurse,11,3012,"Registered nurses and registered psychiatric nurses, 3011: Nursing Co-ordinators and supervisors. There is an additional category 3233 - Licensed Practical Nurses. ",
12,registered nurse,11,3012,"Registered nurses and registered psychiatric nurses, 3011: Nursing Co-ordinators and supervisors",
13,accountant,10,1111,Financial Auditors and Accountants,
14,project manager,10,711,Construction Managers (identifies Construction Project Managers) ,
15,self-employed,10,,,
16,business owner,9,,,
17,enseignante ,9,4031,"Secondary School Teachers, 4032: Elementary school and kindergarten teachers. ",
18,lawyer,9,4112,Lawyers and Quebec Notaries ,
19,manager,9,125,"Other business services managers, ",
20,retail,9,6421,Retail salespersons. ,
21,electrician,8,7241,"Electricians (except industrial and power system), ",7242: Industrial Electricians 
22,professor,8,4011,University professors and lecturers,
23,software developer,8,2173,Software engineers and designers ,
24,management,7,125,"Other business services managers, various other kinds of managers, start with the code 01. ",
25,physician,7,3112,"General Practicioners,", 3111: Specialist Physicians 
26,administration,6,1221,Administrative Officers,
27,consultant,6,4161,Natural and applied science researchers,"Other areas i.e. 4163, 4164, 4165, 4166 apply to other areas of policy consulting. However, 2123 applies to consulting in the agriculture sector and 6561 refers to personal/social/image consulting. However, the 41 code covers the greatest number of consulting sections.  "
28,fonctionnaire,6,4168,Program officers unique to government ,
29,paramedic,6,3234,Paramedical Occupations ,
30,public servant,6,,,"public servant refers to the dedication and honorability of a worker, and doesn't specify any certain NOC category. "
31,agriculture,5,821,Managers in Agriculture,
32,artist,5,5136,"Painters, sculptors and other visual artists ",
33,banker,5,6235,Financial Sales Representatives: ,Exammple Titles include most roles and responsibilities of bank personnel. 
34,construction,5,7611,"Construction trades helpers and labourers,"," includes the job title, Construction labourer. "
35,educational assistant,5,4413,Elementary and Secondary School Teaching Assitants,
36,enseignante au secondaire,5,4031,Secondary School Teachers,
37,farmer,5,821,Managers in Agriculture,
38,graphic designer,5,5241,Graphic designers and illustrators ,
39,insurance,5,1312,"Insurance Adjusters and Claims Examiners, ",1313: Insurance Underwriters 
40,it,5,213,Computer and information systems managers,
41,analyst,4,2172,"Database analysts and data administrators, ",
42,contractor,4,7201,"Contractors and supervisors, maching, metal forming, shaping and erecting trades and related occupations ",
43,customer service,4,6611,Cashiers. ,"Also see: 6552,6551,"
44,educator,4,4031,Secondary School Teachers,Considering this to be a teacher. 
45,engineering,4,2131,Civil Engineer,
46,entrepreneur,4,,,
47,financial advisor,4,1114,Other financial officers ,
48,financial planner,4,1114,Other financial officers ,
49,heavy equipment operator,4,7521,Heavy Equipment Operators (Except Crane) ,
50,mechanic,4,7321,"Automotive Service Technicians, truck and bus mechanics and mechanical repairers ",
51,millwright,4,7311,Construction Millright and Industrial Mechanics ,
52,office manager,4,1221,1221: Administrative Officers,
53,school bus driver,4,7512,"Bus Drivers, Subway operators and other transit operators. ",
54,semi-retired,4,,,
55,social worker,4,4152,Social Worker,
56,administrative,3,1221,Administrative Officer,
57,analyste,3,2172,Analysts,
58,architect,3,2151,Architects,
59,autonome,3,,,
60,charpentier-menuisier,3,7271,Carpenter,
61,clerical,3,1221,Administrative Officer,
62,clerk,3,1221,Administrative Officer,
63,computer programmer,3,2174,Computer programmers and interactive media developers. ,
64,construction worker,3,7611,Construction trades helpers and labourers ,
65,counsellor,3,4153,"Famiily, marriage and other related counsellors",
66,don't know,3,,,
67,driver,3,7513,"Taxi and Limousine drivers and chauffeurs, 7514: Delivery and courier service drivers",
68,economist,3,4162,Economists and economic policy researchers and analysts ,
69,education assistant,3,4413,Elementary and secondary school teaching assitants,
70,enseignant,3,4031,Teachers ,
71,equipment operator,3,7521,Heavy Equipment Operators ,
72,home care worker,3,4412,"Home Support Workers, housekeepers and related occupations. ",
73,human resources,3,1223,Human Resources and Recruitment Officers,
74,infirmière,3,3012,Registered Nurses and Registeres Pssychiatric nurses ,
75,labourer,3,7612,Other trades helpers and labourers,
76,legal assistant,3,1242,Legal Administrative Assistants ,
77,musician,3,5133,Musicians and Singers,
78,oil and gas industry,3,8232,"Oil and Gas well drillers, servicers, testers and related workers. ",
79,paralegal,3,4211,Paralegal and related occupations,
80,policier,3,4311,Police Officers,
81,program manager,3,1221,Administrative officers,
82,realtor,3,6232,Real estate agents and salespersons ,
83,retraité,3,,Retired,
84,retraitée,3,,Retired,
85,school teacher,3,4031,Secondary School Teachers,
86,scientist,3,2121,Biologists and related Scientists ,
87,small business owner,3,125,Other business services managers,
88,technician,3,2242,Electronic service technicians (household and business equipment) ,"Includes a wide variety of different technicans, the 22 code however is relevant to Natural and applied sicences and related ocupations, which is the category in which most technicans reside (i.e. Chemical technicians, Biological, Geological, Forestry, Landscape,Mechanical, etc.) "
89,technicien,3,2242,Electronic service technicians (household and business equipment) ,
90,unemployed,3,,,
91,welder,3,7237,Welders and related machine operators,
92,actuary,2,2161,"Mathematicians, statisticians and actuaries ",
93,administrative assistant,2,1241,Administrative Assistants ,
94,administrator,2,1221,Administrative Officer,
95,agriculteur,2,821,Managers in Agriculture,
96,analyste en informatique,2,2171,Information Systems Analysts and Consultants ,
97,archivist,2,5113,Archivists ,
98,automotive technician,2,7321,"Automotive Service Technicians, truck and bus mechanics and mechanical repairers ",
99,avocate,2,4112,Lawyers and Quebec Notaries ,
100,biologist,2,2121,Biologists and Related Scientists ,
101,businessman,2,1122,Professional occupations in business management consulting ,
102,chemist,2,2112,Chemists,
103,college student,2,,,
104,commis d'entrepot,2,1522,Storekeepers and Partpersons ,
105,communication,2,1123,"Professional occupations in advertising, marketing and public relations ","These categories best encompass the aspects of ""communications"" "
106,consultant en informatique,2,213,Computer and information systems managers,
107,courtier immobilier,2,6232,Real estate agents and salespersons ,
108,customer service representative,2,6552,Other customer and information services representatives ,
109,designer,2,5243,"Theatre, fashion, exhibit and other creative designers ",
110,directeur général,2,621,Retail and Wholesale trade managers ,"""General Managers"" are typically in the retail/customer service industries"
111,educatrice,2,4031,Secondary School Teachers,
112,electrical engineer,2,2133,Electrical and electronics engineers,
113,électricien,2,7241,Electricians (except industrial and power system) ,
114,electronics technician,2,2242,Electronic service technicians (household and business equipment) ,
115,enseignant au secondaire,2,4031,Secondary School Teachers,
116,enseignante au primaire,2,4032,Elementary school and kindergarten teachers,
117,enseignante secondaire,2,4031,Secondary School Teachers,
118,federal public servant,2,4168,program officers unique to government ,
119,finance,2,1114,Other financial officers ,
120,financial services,2,1114,Other financial officers ,
121,flight attendant,2,6522,Pursers and Flight Attendants,
122,fonction publique,2,4168,Program officers unique to government ,
123,geologist,2,2113,Geoscientists and ocenographers,
124,gestionnaire,2,125,Other business services managers ,"""Managers"", Other Business Services provides a wide range of possible management positions that this individual may hold. "
125,healthcare,2,3414,Other assisting occupations in support of health services ,
126,information technology,2,213,Computer and information systems managers,
127,iron worker,2,7236,Ironworkers,
128,judge,2,4111,Judges,
129,laborer,2,7612,Other trades helpers and labourers,
130,labour,2,7612,Other trades helpers and labourers,
131,law enforcement,2,4311,Police Officers,
132,library assistant,2,1451,Library assitants and clerks ,
133,library technician,2,5211,Library and public archive technicians ,
134,maintenance,2,7621,Public works and maintenance labourers,
135,management consultant,2,1122,Professional occupations in business management consulting ,
136,mécanicien industriel,2,7301,"Contractors and supervisors, mechanic trades ",
137,mechanical engineer,2,2132,Mechanical Engineers,
138,médecin,2,3112,General practitioners and family physicians ,
139,medical doctor,2,3112,General practitioners and family physicians ,
140,military,2,4313,Non-commissioned ranks of the Canadian Armed Forces,
141,office clerk,2,1221,Administrative Officer,
142,operations manager,2,714,Facility operation and maintenance managers ,
143,peace officer,2,4311,Police Officers ,"According to Google, ""Peace Officers"" in Canada are police officers"
144,personal support worker,2,4412,"Home Support Workers, housekeepers and related occupations. ",
145,pipe fitter,2,7252,"Steamfitters, pipefitters and sprinkler system installers",
146,planificateur financier,2,1114,Other financial officers ,
147,professional,2,,,
148,psychologist,2,4151,Psychologist,
149,purchaser,2,1225,Purchasing agents and officers,
150,real estate appraiser,2,1314,"Assessors, valuators and appraisors ",
151,représentante,2,6411,Sales and Account Represenatives ,
152,sales rep,2,6421,Retail Salespersons ,
153,secrétaire,2,1414,Receptionists,
154,secretary,2,1414,Receptionists,
155,security guard,2,6541,Security guards and related security service occupations ,
156,semi retired,2,,,
157,service manager,2,714,Facility operation and maintenance managers ,
158,software engineer,2,2173,Software engineers and designers,
159,software manager,2,213,Computer and information systems managers,
160,stay at home mom,2,,,
161,supervisor,2,1211,"Supervisors, general office and administrative support workers ","Chose a supervisor posistion in a wide industry, also starts with the general 12 code. "
162,support worker,2,4412,"Home Support Workers, housekeepers and related occupations. ",
163,systems administrator,2,213,Computer and information systems managers,
164,technicienne comptable,2,1111,Financial auditors and Accountants,
165,travailleuse sociale,2,4152,Social Workers,
166,"""girl friday"" for a small business",1,1221,Administrative Officer,"""girl Friday"" refers to an office administrator or personal assistant "
167,911,1,1525,Dispatchers,
168,911 operator,1,1525,Dispatchers,
169,able seaman on a lake freigh8,1,7532,Water transport deck and engine room ,"Includes ""Able seaman/woman"" "
170,academic,1,4011,University professors and lecturers,
171,account manager,1,1114,Other financial officers ,
172,account payable clerk,1,1431,Accounting and Related Clerks,
173,account service representative,1,6552,Other customer and information services representatives ,
174,accountant cpa,1,1431,Accounting and Related Clerks,
175,accounting,1,1431,Accounting and Related Clerks,
176,accounting coordinator,1,1431,Accounting and Related Clerks,
177,accounts payable,1,1431,Accounting and Related Clerks,
178,accounts payable officer,1,1431,Accounting and Related Clerks,
179,accredited music therapist,1,3144,Other professional occupations in therapy and assessment,
180,acupuncturist and i work on medial cannabis farm,1,3232,Practitioners of natural healing ,
181,adjointe juridique,1,1242,Legal administrative Assistants ,
182,adjointe-administrative,1,1241,Administrative Assistant,
183,admin assistant,1,1241,Administrative Assistant,
184,administrateur informatique,1,2172,Database analysts and data adminstrators ,
185,administration assistant,1,1241,Administrative Assistant,
186,administration assistant in health care ( hospital),1,1241,Administrative Assistant,
187,administration éducation,1,422,School principals and administrators of elementary and secondary education. ,
188,administration part time retired from full time work,1,1221,Administrative Officer,
189,"administration, accountant",1,1221,Administrative Officer,
190,administration. réseau de la santé,1,1221,Administrative Officer,
191,administrations,1,1221,Administrative Officer,
192,administrative clerk,1,1221,Administrative Officer,
193,administrative department,1,1221,Administrative Officer,
194,administrative manager for a university,1,1221,Administrative Officer,
195,administrative officer,1,1221,Administrative Officer,
196,advocat,1,4112,Lawyers and Quebec Notaries ,
197,aeroplane pilot,1,2271,"Air pilots, flight engineers and flying instructors ",
198,aerospace engineer,1,2146,Aerospace engineers,
199,agent administratif pour ciusss,1,1221,Administrative Officer,
200,agent de bureau au gouvernement du québec.,1,4168,Program officers unique to government ,
201,agente administrative,1,1221,Administrative Officer,
202,agente administrative classe ii,1,1221,Administrative Officer,
203,agente au développement des affaires le groupe bocage,1,4163,Business development officers and marketing researchers and consultants ,
204,agente de bureau,1,1411,General office support workers,
205,agente de centre d'appels dans le ministere de la defense,1,6552,Other customer and information services representatives ,
206,agente de planification programmation recherche,1,1254,Statistical officers and related research support occupations ,
207,agricultrice,1,8431,General farm workers ,
208,agricultural sales,1,6221,Technical sales specialists - wholesale trade ,Includes sales of many agriculture based products i.e. Grain 
209,agriculture assistant,1,8431,General farm workers ,
210,agriculture labourer,1,8431,General farm workers ,
211,aide ã  domicile,1,4412,"home support workers, housekeepers and related occupations ",
212,air traffic specialist,1,2272,Air traffic controllers and related occupations ,
213,aircraft maintenance engineer,1,7315,Aircraft mechanics and aircraft inspectors ,
214,aircraft maintenance engineer apprentice,1,7315,Aircraft mechanics and aircraft inspectors ,
215,aircraft mechanic,1,7315,Aircraft mechanics and aircraft inspectors ,
216,alcohol and drug worker,1,4212,Social and Community service workers ,
217,amazon warehouse associate,1,7452,"Material Handlers, includes warehouseman/woman ",
218,analyste programmeur en informatique au gouvernement provincial.,1,2174,Computer programmers and interactive media developers. ,
219,"analyste, recherchiste",1,1254,Statistical officers and related research support occupations ,
220,animatrice de vie spirituelle et d'engagement communautaire,1,4413,elementary and secondary school teaching assitants,
221,applicateur cimentier,1,7611,Construction trades helpers and labourers ,
222,aquaculturalist,1,8613,Aquaculture and marine harvest labourers ,
223,aquatics recreation,1,5254,"Program leaders and instructors in recreation, sport and fitness, includes swimming instructor, lifeguard ",
224,architecte de solution,1,2151,Architects,
225,architectural technologist line cook,1,2251,Architectural technologists and technicians ,
226,arpenteur,1,2154,Land Surveyors ,
227,artiste,1,5136,"Painters, sculptors and other visual artists ",
228,assistant manager,1,621,"Retail and wholsale trade managers, include assitant manager- retail ",
229,assistante technicienne en laboratoire,1,3211,Medical laboratory technologists ,
230,aucun,1,,,
231,auto mechanic,1,7321,"Automotive service Technicians, truck and bus mechanics and mechanical repairers ",
232,automotive sales,1,6421,Retail Salespersons ,
233,auxiliaire familiale,1,,,
234,aviation -account manager,1,731,Managers in transportation ,
235,avocat,1,4112,Lawyers and Quebec Notaries ,
236,bank consultant,1,6235,Financial Sales Representatives,
237,banque,1,6235,Financial Sales Representatives,
238,banquière,1,6235,Financial Sales Representatives,
239,barber,1,6341,Hairstylists and barbers,
240,bibliothequere,1,5111,Librarian ,
241,biologist business owner,1,2121,Biologists and related Scientists ,
242,biologiste,1,2121,Biologists and related Scientists ,
243,biomedical engineering technologist,1,2148,"Other professional engineers, n.e.c. ",
244,boilermaker,1,7234,Boilermakers,
245,book-keeper,1,1311,Accounting technicians and bookkeepers,
246,bookseller,1,6421,Retail salespersons ,
247,border services officer,1,1228,"Employment insurance, immigration, border services and revenue officers",
248,branch manager at a financial institution,1,122,"Banking, credit and other investment managers",
249,brewer,1,9461,"Process control and machine operators, food and beverage processing ",
250,brigadière scolaire,1,6541,Security guards and related security service occupations ,
251,budget coordinator,1,1431,Accounting and Related Clerks,
252,building contractor,1,7204,"Contractors and supervisors, carpentry trades ",Includes form builders and framers. 
253,building technologist,1,2151,Architects,
254,bus driver,1,7512,"Bus drivers, subway operators and other transit operators. ",
255,business broker,1,1113,"Securites agents, investment dealers and brokers ",
256,business development,1,4163,Business development officers and marketing researchers and consultants ,
257,business development. sales business,1,4163,Business development officers and marketing researchers and consultants ,
258,business man,1,125,Other business services managers ,
259,"business man, truck driver, farmer",1,125,Other business services managers ,
260,business manager,1,125,Other business services managers ,
261,business owner (private college),1,125,Other business services managers ,
262,business owner insurance,1,125,Other business services managers ,
263,business transformation architect,1,1122,Professional occupations in business management consulting ,
264,buyer,1,1225,Purchasing agents and officers,
265,buyer / production coordinator,1,1225,Purchasing agents and officers,
266,bylaw officer,1,4423,"By-law enforcement and other regulatory officers, n.e.c. ",
267,cad operator draftsman,1,2253,Drafting technologists and technicians ,
268,"cadre dans la fonction publique fédérale, directeur adjoint",1,4168,Program officers unique to government ,
269,cafe and cafeteria worker,1,6711,"Food counter attendants, kitchen helpers, and related support occupations. ",
270,cahier,1,6611,Cashiers,
271,call business in telecom,1,6552,Other customer and information services representatives ,
272,camionneur,1,7511,Transport truck drivers ,
273,camionneur courte distance,1,7511,Transport truck drivers ,
274,"camionneur courte distance, locale",1,7511,Transport truck drivers ,
275,camionneur et agriculteur,1,7511,Transport truck drivers ,
276,canada post,1,1511,"Mail, postal and related workers ",
277,canada post employee,1,1511,"Mail, postal and related workers ",
278,car sales person,1,6421,Retail Salespersons ,
279,car tech with railroad,1,7531,Railway yard and track maintenance workers,
280,car-manufacturer (labourer),1,9522,"Motor vehicle assemblers, inspectors and testers",
281,care worker high school,1,4212,Social and community service workers ,
282,career counsellor,1,4033,Educational Counsellors ,
283,cariste,1,7452,Material Handlers ,Forklift truck operator 
284,carpentar,1,7271,Carpenters,
285,carpenter's apprentice,1,7271,Carpenters,
286,carpentry,1,7271,Carpenters,
287,carperter/scappler,1,7271,Carpenters,
288,carrosier,1,9522,"Motor vehicle assemblers, inspectors and testers","Includes ""Body Makers"""
289,cashier,1,6611,Cashiers,
290,casual teacher,1,4031,Teachers ,
291,cattle rancher full time canadian national railways.,1,821,Managers in agricultiure ,
292,cca activity director,1,13,"Senior managers- financial, communications and other business services ",
293,ceo,1,13,"Senior managers- financial, communications and other business services ",
294,ceo of a library,1,511,"Senior managers- financial, communications and other business services ",
295,certified professional accountant,1,1431,Accountants ,
296,chargé de projet dans une compagnie biomédicale,1,211,Engineering managers,
297,chargée de projet,1,711,0711: Construction Managers (identifies Construction Project Managers) ,
298,chauffeur d'autobus,1,7512,"Bus drivers, subway operators and other transit operators. ",
299,chauffeur de poid lourd,1,7511,Transport truck drivers ,
300,chauffeur routier,1,7511,Transport truck drivers ,
301,chef,1,6321,Chefs,
302,chef d'entreprise d'investissement immobilier,1,1113,"Securities agents, investment dealers and brokers",
303,"chef d'entreprise, dans la traduction ou correction d'épreuves",1,125,Other business services managers ,
304,chef de cuisine,1,6321,Chefs,
305,chef de division du système d'information,1,213,Computer and information systems managers,
306,chemical distributor supervisor,1,6221,Technical sales specialists - wholesale trade ,
307,chief engineer,1,211,Engineering managers,
308,chief technology officer,1,213,Computer and information systems managers,
309,chimiste,1,2112,Chemist ,
310,city planner,1,2153,Urban and land use planners,
311,civil engineering tech,1,2231,Civil engineering technologists and technicians ,
312,civil servant with dept of agriculture,1,4168,Program officers unique to government ,
313,civil service,1,4168,Program officers unique to government ,
314,claims administrator,1,1312,Insurance adjusters and claims examiners ,
315,class 1 driver,1,7511,Transport truck drivers ,
316,"class3 driver, heavy equipment",1,7521,Heavy Equipment Operators (except Crane) ,
317,clergy,1,4154,Professional occupations in religion ,
318,clergy (church minister),1,4154,Professional occupations in religion ,
319,clerical assistant,1,1241,Administrative Assistant,
320,client manager,1,13,"Senior managers - financial, communications and other business services",
321,client service,1,6552,Other customer and information services representatives ,
322,client service administration.,1,6552,Other customer and information services representatives ,
323,clinical counselor,1,4153,"Family, marriage and other related counsellors",
324,cnc mastercam programmer,1,2233,Industrial engineering and manufacturing technologists and technicians ,
325,coach,1,5252,Coaches,
326,col bleu,1,,,
327,college instructor,1,4021,College and other vocational instructors ,
328,college professor,1,4021,College and other vocational instructors ,
329,commercial building owner,1,1224,Property Adminstrators ,
330,commercial fisherman,1,8262,Fisherman/Women,
331,commis aux achats,1,1524,Purchasing and inventory control workers,
332,commis aux pièces,1,1522,Storekeepers and partpersons ,
333,commis comptable,1,1431,Accounting and related clerks,
334,commis d'épicerie,1,6611,Cashiers,
335,commis de bureau,1,1241,Administrative Assistant ,Includes Secretary-Clerk
336,communications,1,1123,"Professional occupations in advertising, marketing and public relations ",
337,communications manager,1,124,"Advertising, marketing and public relations managers",
338,communications officer,1,1123,"Professional occupations in advertising, marketing and public relations ",
339,community development,1,4212,Social and community service workers ,
340,community support worker,1,4212,social and community service workers ,
341,comptable,1,1431,Accountants ,
342,comptable agrée,1,1431,Accountants ,
343,computer consultant,1,2171,Information systems analysts and consultants ,"Includes Systems consultant, computer systems analyst "
344,computer engineer,1,2147,Computer engineers ,
345,computer technician,1,2171,Information systems analysts and consultants ,
346,conceptrice de reseau,1,2173,Computer Engineers and designers,
347,conseiller en santé et sécurité du travail,1,2263,Inspectors in public and environmental health and occupational healthy and safety ,
348,conseiller en voyage,1,6521,Travel Counsellors ,includes travel agent 
349,conseiller financier,1,1114,Other Financial Officers ,
350,conseillere amélioration processus,1,2233,industrial engineering and manufacturing technologists and technicians ,
351,conseillère d'orientation et aide pédagogique individuelle,1,4033,Educational Counsellors ,
352,conseillère en acquisition de talent,1,1223,Human resources and Recruitment Officers,
353,conseillère pédagogique,1,4033,Educational Counsellors ,
354,constable----works for the government,1,4311,Police officers,
355,construction company owner,1,16,"Senior managers - construction, transportation, production and utilities ",
356,construction estimater,1,2234,Construction estimator,
357,construction foreman,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
358,construction inspector,1,2264,Construction inspectors,
359,construction labor,1,7611,Construction trades helpers and labourers ,
360,construction manager,1,711,Construction manager ,
361,construction top man,1,711,Construction manager ,"""Top Man"" = Manager? "
362,construction trading laser,1,7611,Construction trades helpers and labourers ,
363,construction training coordinator,1,7611,Construction trades helpers and labourers ,
364,construction worker - residential,1,7611,Construction trades helpers and labourers ,
365,"construction worker. truck driver, musician",1,7611,Construction trades helpers and labourers ,
366,construction/ estimating,1,7611,Construction trades helpers and labourers ,
367,consultant - financial,1,1114,Other financial officers ,
368,consultant - unexploded bombs.,1,4311,police officers,"unexploded bombs are likely to be handled by law enforcement, or other specialized forces"
369,consultant a mon compte,1,6564,Other personal service occupations ,"includes a variety of different ""consultants"" "
370,consultant fiabiliste,1,6564,other personal service occupations ,"includes a variety of different ""consultants"" "
371,consultant health professional,1,4165,"Health policy researchers, consultants and program officers ",
372,consultant human resources,1,1121,Human resources professionals ,
373,consultant in oil & gaz,1,8222,"Contractors and supervisors, oil and gas drilling and services ","Includes oil field consultant, direct drilling consultant, etc. "
374,"consultant, retired from federal government.",1,4164,"Social policy researchers, consultants and program officers ",Assumed that the consulting was done within the federal government sector 
375,consumer service technician,1,6552,Other customer and information services representatives ,
376,contract worker,1,7205,"Contractos and supervisors, other construction trades installers, repairers and servicers",
377,contractor - construction - window,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
378,contractor renovator,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
379,contractor sales,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
380,contremaître de production,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
381,controle in a construction company,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
382,contruction foreman,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
383,cook in a long term care facility for seniors,1,6322,Cooks,
384,"cook, student",1,6322,Cooks,
385,coordonnateur de production,1,1523,Production logistics co-ordinators ,
386,coordonnatrice administration,1,1221,Administrative officers,
387,coordonnatrice aux opérations,1,114,Other administrative services managers ,
388,correctional officer,1,4422,Correctional service officers,
389,counselor,1,4153,"Family, marriage and other related counsellors",
390,courrier,1,1513,"Couriers, messengers and door-to-door distributors",
391,creative director,1,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts ",
392,credit card associate,1,6235,Financial sales Representatives,
393,criminal investigator,1,431,Commissioned Police Officers ,
394,cuisinier,1,6322,Cooks,
395,cuisinière,1,6322,Cooks,
396,custodial,1,6733,"Janitors, caretakers and building superintendents ",
397,custodial services,1,6733,"Janitors, caretakers and building superintendents ",
398,custodian,1,6733,"Janitors, caretakers and building superintendents ",
399,customer service manager,1,621,Retail and wholsale trade managers ,Includes customer service manager
400,customer service rep,1,6552,Other customer and information services representatives ,
401,customer service representative at bank of nova scotia,1,6235,Financial sales Representatives,
402,customer services on the phone,1,6552,Other customer and information services representatives ,
403,customers service,1,6552,Other customer and information services representatives ,
404,cybersecurity analyst,1,2171,Information systems analysts and consultants ,
405,dairy farmer,1,821,Managers in agriculture,
406,dans le domaine de la santé,1,3414,Other assisting occupations in support of health services ,
407,dans le domaine de ladministration et medias sociaux,1,1123,"Professional occupations in advertising, marketing and public relations ",
408,data analyst,1,2172,Database analysts and data adminstrators ,
409,database administrator,1,2172,Database analysts and data adminstrators ,
410,daycare educator,1,4214,early childhood educators and assistants,
411,debt collection agent,1,1435,Collectors,
412,deckhand,1,7532,Water transport deck and engine room crew,
413,delivery driver,1,1513,"Couriers, messengers and door-to-door distributors",
414,demographe,1,2161,"Mathematicians, statisticians and actuaries ",includes demographer
415,dental assistant with provincial government,1,3411,Dental assistants,
