,p52,n,NOC,Title ,Additional Comments
416,dental hygienist,1,3222,Dental hygienists and dental therapists,
417,dental therapist,1,3222,Dental hygienists and dental therapists,
418,dentiste,1,3113,Dentists,
419,department manager,1,114,Other administrative services managers ,
420,dept of national defence,1,4168,Program officers unique to government ,"""Collect, monitor and analyze international pressures, issues and communications and brief on intelligence and security matters"""
421,designer (manage) president of a company,1,124,"Advertising, marketing and public relations managers",
422,designer industriel,1,2252,Industrial designers,
423,développement durable,1,411,"Government managers, health and social policy development and program administration ","These are the actors most likely responsible for ""sustainable development"" "
424,développeur logiciel,1,2174,Computer programmers and interactive media developers. ,
425,développeur web,1,2174,Computer programmers and interactive media developers. ,
426,diabetes educator,1,3414,Other assisting occupations in support of health services ,
427,dietrist,1,3132,Dietitians and nutritionists,
428,digital media editor and statistician,1,2161,"Mathematicians, statisticians and actuaries ",
429,directeur de commerce électronique,1,124,"advertising, marketing and public relations managers",Actually includes Electronic Business Managers
430,directeur des ventes,1,621,Retail and wholsale trade managers ,
431,directeur general,1,125,Other business service managers,
432,directeur régionale,1,125,Other business service managers,
433,directional driller,1,7372,"Drillers and blasters - surface mining, quarrying and construction ",
434,director ngo,1,14,"Senior Managers - health, eduction, social and community services and membership organizations ",Includes Non-governmental organization executive director
435,director of community economic deveopment,1,14,"Senior Managers - health, eduction, social and community services and membership organizations ","Includes director general - health, education, social and community services and membership organizations"
436,director of health care company,1,14,"Senior Managers - health, eduction, social and community services and membership organizations ","Includes director general - health, education, social and community services and membership organizations"
437,director of operations,1,114,Other administrative services managers ,Operations director - administrative services 
438,director research and innovation,1,212,Architecture and science managers ,includes Director of research 
439,directrice d'un département,1,1221,Administrative officers,
440,directrice des achats,1,113,Purchasing Managers,
441,directrice des opérations accessoires auto,1,621,Retail and whoesale trade managers ,
442,directrice en cpe,1,114,Other administrative services managers ,
443,disability,1,,,
444,disclosure facilitator - government,1,4168,Program officers unique to government ,
445,display carpenter,1,7271,Carpenters,
446,dock worker,1,7533,Boat and cable ferry operators and related occupations ,
447,doctor,1,3112,General practitioners and family physicians ,
448,doctor of medicine,1,3112,General practitioners and family physicians ,
449,doctoral candidate in medical science,1,,,
450,driver for a trucking company,1,7511,Transport truck drivers ,
451,driving instructor,1,4216,Oher instructors ,includes driving instructor 
452,early childhood educator 12 weeks old to 12 years old.,1,4214,Early childhood educators and assistants,
453,ece,1,4214,Early childhood educators and assistants,
454,économiste,1,4162,Economists and economic policy researchers and analysts ,
455,editor,1,5122,Editors,
456,éducation - niveau collégial,1,,,
457,education assistant.,1,4413,Elementary and secondary school teacher assistants,
458,educational assistant in a high school.,1,4413,Elementary and secondary school teacher assistants,
459,educational consultant,1,4166,"Education policy researchers, consultants and program officers",
460,éducatrice,1,4032,Elementary school and kindergarten teachers ,
461,éducatrice ã  l'enfance,1,4032,Elementary school and kindergarten teachers ,
462,educatrice cpe,1,4032,Elementary school and kindergarten teachers ,
463,éducatrice en service de garde,1,4214,Early childhood educators and assistants,
464,eeg/emg technologist,1,3217,Cardiology technologists and electro physiological diagnostic technologists,
465,élagueur,1,8422,Silviculture and forestry workers,Includes Tree Pruner 
466,electrical contractor,1,7202,"Contractors and supervisors, electrical trades and. Telecommunications occupations ",
467,electrican,1,7241,Electricians ,
468,electromécanicienne,1,2241,Electrical and electronics engineering technologists and technicians ,Includes various example titles that entail electronic mechanics/engineering/design
469,electronics,1,2241,Electrical and electronics engineering technologists and technicians ,
470,electronics technologist,1,2241,Electrical and electronics engineering technologists and technicians ,
471,électrotechnicienne,1,2133,Electrical and electronics engineers,
472,emergency manager,1,414,Other Managers in Public Administration ,"Emergency management co-ordination, emergency measures manager "
473,employé du gouvernement provincial,1,4168,Program officers unique to government ,Includes various govrernmental roles 
474,employé municipal,1,4168,Program officers unique to government ,
475,employee of the federal government,1,4168,Program officers unique to government ,
476,engine inspector,1,9522,"Motor vehicle assemblers, inspectors and testers ",
477,engineering manager,1,211,Engineering managers,
478,engineering technologist,1,2231,Civil engineering technologists and technicians ,
479,enseignant au collégial,1,4021,College and other vocational instructors ,
480,enseignant secondaire,1,4021,College and other vocational instructors ,
481,enseignante au collégial,1,4021,College and other vocational instructors ,
482,enseignante éducation des adultes,1,4021,College and other vocational instructors ,
483,entrepreneur dans la construction,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers ",
484,entrepreneur en construction,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers ",
485,environmental and geo non profit,1,4161,"Natural and applied science policy researchers, consultants and program officers",Includes managers of Non-Profit Organizations
486,environmental consultant,1,4161,"Natural and applied science policy researchers, consultants and program officers",
487,environmental services consultant,1,4161,"Natural and applied science policy researchers, consultants and program officers",
488,"environmental, technician",1,2231,Civil engineering technologists and technicians ,Includes environmental technician 
489,environnement,1,4161,"Natural and applied science policy researchers, consultants and program officers",
490,esthéticienne,1,6562,"Esthetician’s, electrologists and related occupations. ",
491,estimateur en construction,1,2234,Construction estimators,
492,etudiant,1,,,
493,étudiant,1,,,
494,etudiant a temps plein et service a la clientele,1,6421,Retail salespersons ,Includes a large variety of customer service occupations 
495,étudiante,1,,,
496,évaluateur agréé (immeuble),1,1314,"Assessors, valuations and appraisers",
497,ex- pipeline laborer,1,8412,Oil and gas well drilling and related workers and services operators ,
498,executive assistant for non-profit,1,1222,Executive assistants ,
499,executive assistant to cao,1,1222,Executive assistants ,
500,fabrication,1,7235,Structural metal and plate work fabricators and fitters,
501,faculty developer,1,4166,"Education policy researchers, consultants and program officers",Faculty Developers are responsbile for building strong foundations for our educational systems 
502,faire des cercueuil,1,9532,Furniture and Fixture Assemblers and Inspectors ,Coffin and Casket fitter 
503,family physician,1,3112,General practitioners and family physicians ,
504,"farm, teach riding horses",1,8431,General farm workers ,
505,farmer cattles,1,8431,General farm workers ,
506,farmers,1,8431,General farm workers ,
507,farming - basicly retired,1,8431,General farm workers ,
508,farming forage,1,8431,General farm workers ,
509,fast food restaurant manager,1,631,Restaurant and food service managers,
510,federal employee,1,4168,Program officers unique to government ,
511,federal government employee,1,4168,Program officers unique to government ,
512,femme ã  la maison,1,,,
513,film and tv producer,1,5131,"Producers, directors, choreeographers and related occupations. ",
514,film editor/movie editor (freelance),1,5122,Editors,
515,film maker,1,5131,"Producers, directors, choreeographers and related occupations. ",
516,film technician,1,5131,"Producers, directors, choreeographers and related occupations. ",
517,financial advisor to business owners,1,1114,Other financial Officers ,
518,financial analyst / accountant,1,1111,Financial Auditors and Accountants,
519,financial coach,1,1114,Other Financial Officers ,Financial Planner/Services Consultant
520,financial manager,1,111,Financial Manager ,
521,financial planning,1,1114,Other Financial Officers ,
522,financial services officer,1,1114,Other Financial Officers ,
523,firefighter/paramedic,1,4312,Firefighters,
524,fisherman,1,8262,Fishermen/women,
525,fitness instructor and personal training,1,5254,"Program leaders and instructors in recreation, sport and fitness",
526,flager,1,7611,Construction trades helpers and labourers ,
527,floor covering,1,7295,Floor covering installers,
528,fonctionnaire fédéral,1,4168,Program officers unique to government ,
529,food service,1,6711,"Food counter attendants, kitchen helpers, and related support occupations. ",
530,foreman,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
531,forensic accountant,1,1111,Financial Auditors and Accountants,
532,forest technician,1,2223,Forestry technologists and technicians ,
533,forestry,1,2223,Forestry technologists and technicians ,
534,fork lift operator,1,7452,Material handlers,
535,forklift driver,1,7452,Material handlers,
536,formateur et leader en assurance qualité,1,2233,Industrial engineering and manufacturing technologists and technicians ,Includes quality assurance technologist 
537,formation dans mon entreprise pour devenir imprimeure,1,9619,"Other labourers in processing, manufacturing and utilitires ",Printing 
538,fracker,1,8412,Oil and gas well drilling and related workers and services operators ,Includes Fracturing
539,freelance violinist/education associate for the national arts center of canada,1,5133,Musicians and singers,
540,"freelance, sales rep, stay at mom, advertising",1,1123,"Professional occupations in advertising, marketing and public relations ",
541,freight forwarder,1,1215,"Supervisors, supply chain, tracking and scheduling, coordination occupations ","includes freight forwarding logistician, supervisor, technician, "
542,frigoriste,1,7332,Appliance servicers and repairers ,
543,"frontline worker, educator",1,4216,Other instructors ,
544,frunace oil delivery driver,1,7514,Delivery and courier service drivers,
545,fuel truck driver,1,7511,Transport Truck Drivers ,
546,full time foster parent & part time businesses owner,1,125,Other business services Managers,
547,full time student,1,,,
548,fundraiser,1,1123,"Professional occupations in advertising, marketing and public relations ",Includes Fundraiser 
549,funeral director,1,6346,Funeral Directors and embalmers,
550,gas station supervisor,1,621,Retail and wholesade trade managers,
551,gas technician,1,7253,Gas Fitters ,Includes gas technician 
552,general manager - paper mill,1,911,Manufacturing managers,
553,general manager of finance,1,111,Financial Managers,
554,"general manager, media corporation",1,512,"Managers - publishing, motion picturs, broadcasting and performing arts ",
555,geotechnical engineer,1,2144,Geological engineers ,Includes geotechnical engineer 
556,gestion,1,125,Other business services Managers,
557,gestionnaire aéronautique,1,731,Managers in Transportation ,
558,gestionnaire d'équipe dans le domaine de la santé,1,311,Managers in Health Care ,
559,gestionnaire dans le domaine funéraire,1,6346,Funeral Directors and embalmers,
560,gestionnaire en alimentation,1,631,Restaurant and food service managers,
561,gestionnaire en tourisme,1,412,"Government managers - economic analysis, policy development and program administration ",includes tourism development manager
562,gestionnaires dans un cabinet d'assurance,1,121,"Insurance, real estate and financial brokerage managers ",
563,gm of a hotel. teacher.,1,632,Accommodation service managers ,
564,goldsmith,1,5244,Artisans and craftspersons ,
565,golf course maintenance,1,8612,Landscaping and grounds maintenance labourers,
566,gouvernement du canada,1,4168,Program officers unique to government ,
567,government admin,1,4168,Program officers unique to government ,
568,government clerk,1,4168,Program officers unique to government ,
569,government employee in it,1,4168,Program officers unique to government ,
570,government manager,1,411,"Government managers - economic analysis, policy development and program administration ",
571,government policy,1,411,"Government managers - economic analysis, policy development and program administration ",
572,government senior manager,1,12,Senior government managers and officials ,
573,government worker,1,4168,Program officers unique to government ,
574,graduate student,1,,,
575,"graduate student, social worker",1,4152,Social Workers,
576,graphiste et postière,1,5241,Graphic designers and illustrators ,
577,grocery /retail,1,6622,"Store shelf stockers, clerks and order fillers ",
578,grocery clerk,1,6622,"Store shelf stockers, clerks and order fillers ",
579,grocery store,1,6622,"Store shelf stockers, clerks and order fillers ",
580,groundskeeper,1,8612,Landscaping and grounds maintenance labourers,
581,hairdresser,1,6341,Hairstylists and barbers,
582,hat design,1,5243,"Theatre, fashion, exhibit and other creative designers ",
583,health and safety,1,2263,Inspectors in public and environmental health and occupational healthy and safety ,
584,health and safety consultant,1,2263,Inspectors in public and environmental health and occupational healthy and safety ,
585,health care,1,3414,Other assisting occupations in support of health services ,
586,health care aide,1,3413,"Nurse aides, orderlies and patient service associates ",
587,health care coordinator,1,3414,Other assisting occupations in support of health services ,
588,health care manager,1,311,Managers in Health Care ,
589,health care provider,1,3414,Other assisting occupations in support of health services ,"Fair to say ""Health Care Provider"" might mean physician? "
590,health clerk,1,1252,Health information management occupations ,
591,health records clerk,1,1252,Health information management occupations ,
592,"health, safety and environmental manager",1,112,Human resources managers,
593,healthcare administration,1,1243,Medical administrative assistants,
594,heavy equipment operator and self employed,1,7521,Heavy Equipment Operators (except Crane) ,
595,high performance adviser,1,2233,Industrial engineering and manufacturing technologists and technicians ,"""High performance advisor"" seems akin to ""quality assurance"" "
596,high school teacher,1,4031,Secondary School Teachers ,
597,"higher education, post secondary adminstartion",1,1221,Administrative Officers,
598,highway maintenance worker,1,7621,Public works and maintenance labourers,
599,home support worker working with seniors and disabled,1,4412,"Home support workers, housekeepers and related occupations. ",
600,homecare provider,1,4412,"Home support workers, housekeepers and related occupations. ",
601,homeshare provider/caregiver,1,4412,"Home support workers, housekeepers and related occupations. ",
602,homme de cour,1,1227,Court officers and justices of the peace ,
603,hospital staff,1,3413,"Nurse aides, orderlies and patient service associates ",
604,hospitality manager,1,631,Restaurant and food service managers,
605,host at restaurant,1,6711,"Food counter attendants, kitchen helpers, and related support occupations. ",
606,house cleaner,1,6731,Light duty cleaners,
607,house keeper,1,6731,Light duty cleaners,
608,housekeeper,1,6731,Light duty cleaners,
609,housekeeper in a long term care,1,6731,Light duty cleaners,
610,housewife,1,,,
611,hr,1,1121,Human Resources Professionals ,
612,hr manager,1,112,Human resources managers,
613,human resource analyst,1,1121,Human Resources Professionals ,
614,human resource professiona;,1,1121,Human Resources Professionals ,
615,human resources admin,1,1121,Human Resources Professionals ,
616,human resources business partner,1,1121,Human Resources Professionals ,
617,human resources coordinator,1,1121,Human Resources Professionals ,
618,human rights adviser (civil servant),1,4164,"Social policy researchers, consultants and program officers ",
619,hvac and control technician,1,7313,"Heating, refrigeration and air conditioning mechanics",
620,i quit my job 2 days ago,1,,,
621,i work at the gas station,1,6621,Service station attendants ,
622,i work for a banker. personal banker,1,1114,Other financial Officers ,
623,i work in the governemtn,1,4168,program officers unique to government ,
624,illustrator,1,5241,Graphic designers and illustrators ,
625,in construction,1,7611,Construction trades helpers and labourers ,
626,in management,1,114,Other adminstrative services managers ,Chose a wide management category 
627,independant business owner,1,125,Other Business services Managers,"According to research, this cateogry was created to also include sole proprietors and other business owners "
628,infirmière auxiliaire,1,3012,Registered nurses and registered psychiatric nurses,
629,infirmière en psychiatrie,1,3012,Registered nurses and registered psychiatric nurses,
630,informaticien,1,2147,Computer Engineers ,
631,information systems and software (computer science),1,2173,Software engineers and designers,
632,information terchnology,1,2171,Information systems analysts and consultants ,
633,ingénieur,1,2131,Civil Engineers,
634,ingénieur aéronautique,1,2146,Aerospace engineers,
635,ingénieur aérospatial,1,2146,Aerospace engineers,
636,ingénieur en automatisation,1,2132,Mechanical Engineers,
637,inhome care giver,1,4412,"Home support workers, housekeepers and related occupations. ",
638,inspecteur en environnement pour le ministère de l'environnement et de la lutte aux changements climatiques du québec.,1,2263,Inspectors in publis and environmental health and occupational health and safety ,
639,installer,1,7612,Other trades helpers and labourers,
640,instructional assistant,1,4413,Elementary and secondary school teacher assistants,
641,instructor,1,4216,Other Instructors ,
642,instrument mechanic,1,2243,Industrial instrument technicians and mechanics,
643,instrumentation technologist,1,2243,Industrial instrument technicians and mechanics,
644,insurance adjuster,1,1312,Insurance adjusters and claims examiners,
645,insurance adjuster and retired military,1,1312,Insurance adjusters and claims examiners,
646,insurance broker,1,6231,Insurance agents and brokers,
647,interior designer,1,5242,Interior designers and interior decorators ,
648,intern excursive director of a museum gallery,1,511,"Library, archive, museum and art gallery managers ",
649,international tax accountant,1,1111,Financial Auditors and Accountants,
650,intervenant,1,4152,social workers,
651,intervenant sociale,1,4152,social workers,
652,inventory analyst,1,1524,Purchasing and inventory control workers,
653,investigation,1,4311,Police Officers,
654,investment advisor,1,1114,Other Financial Officers ,
655,investment advisor & business owner,1,1114,Other Financial Officers ,
656,investment assistant,1,1114,Other Financial Officers ,
657,investment professional,1,1114,Other Financial Officers ,
658,it admin,1,2171,Information systems analysts and consultants ,
659,it consultant,1,2171,Information systems analysts and consultants ,
660,it developer,1,2171,Information systems analysts and consultants ,
661,it manager,1,213,Computer and information systems managers,
662,it programmer,1,2174,Computer programmers and interactive media developers. ,
663,it project coordinator,1,213,Computer and information systems managers,
664,it specialist,1,2171,Information systems analysts and consultants ,
665,it system engeneer,1,2171,Information systems analysts and consultants ,
666,it team lead,1,213,Computer and information systems managers,
667,janitor,1,6733,"Janitors, caretakers and building superintendents ",
668,jardinière horticultriste paysagiste ecologique,1,8432,Nursery and greenhouse workers,
669,jounalier en alimentation,1,7514,Delivery and courier service drivers,"This translation is ""Food Daily"", I am assuming it is meant to say Food Delivery "
670,jounalisme,1,5123,Journalists,
671,journalist,1,5123,Journalists,
672,"journaliste a la pige , retraité",1,5123,Journalists,
673,journeyman ironworker,1,7236,Ironworkers,
674,journeyman welder,1,7237,Welders and related machine operators,
675,laboratory assitant,1,3212,Medical laboratory technicians and pathologist's assistants. ,"""32"" is the starting code for labrotory assistants in a variety of fields. "
676,labour work,1,7611,Construction trades helpers and labourers ,
677,labourer /construction,1,7611,Construction trades helpers and labourers ,
678,"labourer, fish plant worker",1,9463,Fish and seafood plant workers,
679,labourer,1,7611,Construction trades helpers and labourers ,
680,labrador,1,,,
681,landscape consultant,1,2225,Landscape and horticulture technicians and specialists,
682,landscaping,1,2225,Landscape and horticulture technicians and specialists,
683,laser operator,1,7237,Welders and related machine operators,Includes Laser welder operator
684,lawier,1,4112,Lawyers and Quebec Notaries ,
685,lawyer mediator,1,4112,Lawyers and Quebec Notaries ,
686,layout,1,,,
687,legal bookeeper,1,1311,Accounting technicians and bookkeepers,
688,legal translator,1,5125,"Translators, terminologists and interpretors",
689,letter courrier for canada post,1,1512,Letter carriers,
690,librarian,1,5111,Librarians,
691,licensed practical nurse,1,3233,Licensed practical nurses,
692,lobeiste,1,4164,"Social policy researchers, consultants and program officers ","""Lobbyist"" "
693,logger,1,8616,Logging and forestry labourers,
694,logging,1,8616,Logging and forestry labourers,
695,long distance truck driver,1,7511,Transport truck drivers ,
696,lumber industry - mill worker,1,8616,Logging and forestry labourers,
697,machine operator,1,9417,Machining tool Operators ,
698,machinist,1,7231,Machinists and machining and tooling inspectors,
699,magasignier/ventes internes,1,1522,Storekeepers and partspersons,
700,mail carrier,1,1512,Letter carriers,
701,maintenance man in a flour manufacturer,1,7621,Public works and maintenance labourers ,
702,maintenance superintendent - sawmill,1,714,Facility operation and maintenance managers ,
703,maintenance supervisor,1,714,Facility operation and maintenance managers ,
704,management - engineering,1,211,Engineering Managers,
705,management in retail,1,621,Retail and wholsale trade managers ,
706,"management, business owner.",1,621,Retail and wholsale trade managers ,Picked a management sector with a wide range of potential career options
707,manager at a cemetary + night security,1,714,Facility operation and maintenance managers ,
708,manager at a financial services company.,1,122,"Banking, credit and other investment managers ",
709,manager at air canada,1,731,Manager in Transportation ,
710,manager in retail store,1,621,Retail and wholsale trade managers ,
711,manager insurance industry,1,121,"Insurance, Real estate and financial brokerage managers ",
712,manager of a medical clinic,1,311,Managers in Health Care ,
713,manager of operations,1,710,Facility operation and maintenance managers ,
714,"manager, data management company",1,213,Computer and information systems managers,
715,manger of pharmaceutical company,1,621,Retail and wholsale trade managers ,
716,manger residential support,1,4412,"Home Support workers, housekeepers and related occupations. ",
717,manoeuvre spésialisé,1,,,"""Specialized Manouvre"" "
718,marchandiseur,1,6222,Retail and wholesale buyers,
719,marketing,1,1123,"Professional occupations in advertising, marketing and public relations ",
720,marketing and communications,1,1123,"Professional occupations in advertising, marketing and public relations ",
721,marketing director,1,124,"Advertising, marketing and public relations managers",
722,marketing leader,1,124,"Advertising, marketing and public relations managers",
723,marketing manager,1,124,"Advertising, marketing and public relations managers",
724,massage therapist,1,3236,Massage Therapists,
725,massothérapeute,1,3236,Massage Therapists,
726,materials handler,1,7452,Material Handlers,
727,md,1,3112,General Practitioners and family physicians ,
728,mecanicien,1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers ",
729,mécanicien,1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers ",
730,mecanicien automobile,1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers ",
731,"mecanicien,",1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers ",
732,mecanien industriel construction,1,7311,Construction millwrights and industrial mechanics,
733,mechanical designer engineering,1,2132,Mechanical Engineers,
734,mechanical technician,1,2232,Mechanical Engineering technologists and technicians ,
735,medecin,1,3112,General practitioners and family physicians ,
736,medical administrator,1,1243,Medical administrative assistants,
737,medical device sales,1,6221,Technical sales specialists - wholesale trade ,
738,medical lad tech,1,3414,Other assisting occupations in support of health services ,Includes Clinical Laboratory technician 
739,medical office assistant,1,1243,Medical administrative assistants,
740,medical office manager,1,311,Managers in Health Care ,
741,medical radiation technologist,1,3215,Medical radiation technologists,
742,medical sales,1,6221,Technical sales specialists - wholesale trade ,
743,medical secretary,1,1414,Receptionist,Includes Medical Receptionist
744,medical technician,1,3219,Other medical technologists and technicians (except dental health) ,
745,member of civil service,1,4168,Program officers unique to government ,
746,mental healthcare program supervisor,1,423,"Managers in social, community and correctional services",
747,merchandiser,1,6222,Retail and wholesale buyers,
748,merchandiser in retail,1,6222,Retail and wholesale buyers,
749,message therapist,1,3236,Massage Therapists,
750,metallurgist,1,2115,Other professional occupations in physical sciences ,Includes metallurgist
751,middle management,1,114,Other administrative services manager,Unsure of which sector this belongs to.. Chose this as it is relevant to the Management Occupations category and covers a wide variety of possible jobs. 
752,mill operator,1,9431,Sawmill machine operators,
753,mill worker,1,8616,Logging and forestry labourers,
754,milwright,1,7311,Construction millwrights and industrial mechanics,
755,miner,1,8231,Underground production and development miners,
756,modular technician,1,9533,Other wood products assemblers and inspectors ,"Job description outlines setting up, maintaining and inspecting work equipment, and operating spaces. Fit the best in this description. Also a search of ""modular"" brought up this job cartegory immediatley. "
757,mortgage broker,1,1114,Other Financial Officers ,
758,municipal government worker,1,4168,Program officers unique to government ,
759,municipal govnt worker,1,4168,Program officers unique to government ,
760,"music teacher, office administrator",1,1221,Administrative Officers,
761,music therapist,1,3144,Other professional occupations in therapy and assessment ,
762,musician/ reator,1,5133,Musicians and singers,
763,national account manager in sales,1,601,Corporate Sales Managers ,
764,négociateur sur les marchés financiers,1,1113,"Securities agents, investment dealers and brokers",
765,non-profit lobbyist,1,4164,"Social policy researchers, consultants and program officers ",
766,nurse practionner,1,3124,Allied primary health practitioners,
767,nurse rn,1,3012,Registered nurses and registered psychiatric nurses,
768,occupational health and safety,1,2263,Inspectors in public and environmental health and occupational healthy and safety ,
769,occupational health and safety team leader,1,112,Human Resources managers,
770,occupational therapist,1,3143,Occupational therapists,
771,ocean technician,1,2212,Geological and mineral technologists and technicians,"includes various ""Hydro"", ""Water"", ""Sea-"" technician roles"
772,office admin,1,1221,Administrative Officers,
773,office administrator,1,1221,Administrative Officers,
774,office managwr,1,114,Other administrative services manager,
775,officemanager/bookkeeper,1,114,Other administrative services manager,
776,offshore crane operator,1,7371,Crane Operators,
777,oil field worker,1,124,Oil and gas well drilling and related workers and services operators ,
778,oilfield operator,1,8412,Oil and gas well drilling and related workers and services operators ,
779,opérateur,1,9411,"Machine operators, mineral and metal processing ",
780,"operateur de machine fixe, decoupage au laser",1,9411,"Machine operators, mineral and metal processing ",Large category that includes a wide variety of different types of stationary machine operators (However there are A LOT of different catefories with different codes this could fit into) 
781,operateur dèextrudeuse,1,9411,"Machine operators, mineral and metal processing ",
782,opérateur machinerie lourde,1,7521,Heavy equipment operators (except Crane) ,
783,operational training specialist,1,1121,Human Resources professionals ,Includes a variety of training specialists/technicians/consultatns
784,operations cordinator,1,714,Facility operation and maintenance managers ,
785,operations management,1,714,Facility operation and maintenance managers ,
786,opticienne,1,3231,Opticians,
787,ordained minister of evangelical lutheran church in canada,1,4154,Professional occupations in religion  ,
788,organic farmer,1,821,Managers in Agriculture,
789,ouvrier de production dans une usine de maison pré-fabriquée,1,9619,"Other labourers in processing, manufacturing and utilitires ",
790,owner,1,125,Other business services Managers,
