,p52,n,NOC,Title ,Additional Comments
791,packaging technician,1,9619,"Other labourers in processing, manufacturing and utilitires ",
792,painter / artist,1,5136,"Painters, sculptors and other visual artists ",
793,painting,1,7611,Construction trades helpers and labourers ,
794,palfrenier,1,8431,General Farm Workers ,Includes Stable Hands 
795,papetier,1,621,Retail and wholesale trade managers ,"a ""stationer"" is someone who manages the sell of stationary materials (According to Google) "
796,paramédic,1,3234,Paramedical occupations ,
797,part time office worker,1,1411,General office support workers,
798,"part time student, part time sales associate",1,6421,Retail salespersons ,
799,parts advisor for car dealership,1,1522,Storekeepers and partspersons ,
800,payment officer,1,1422,Data entry clerks ,"Sounds like a ""payment entry clerk"""
801,payroll administrator,1,1432,Payroll administrator,
802,peace officer - rcmp,1,4311,Police Officers,
803,peintre,1,5136,"Painters, sculptors and other visual artists ",
804,pharmacist,1,3131,Pharmacists,
805,photographe,1,5221,Photographers,
806,physiotherapist,1,3142,Physiotherapist,
807,physiotherapy assistant,1,3237,Other technical occupations in therapy and assessment ,
808,physique,1,3142,Physiotherapist,"""Physical Therapist? "
809,piper fitter super attendant,1,7252,"Steamfitters, pipefitters and sprinkler system installers",
810,plane operator,1,2271,"Air pilots, flight engineers and flying instructors ","ALSO, this kind of sounds like ""planer operator"" (Plane operator is just a weird way of saying pilot… So it also could be 9417 - Machining tool operators"
811,planificateur de réseaux extérieurs en télécommunication,1,211,Engineering Managers,
812,planning and project manager,1,711,Construction managers,
813,plant implementation manager,1,911,Manufacturing managers,
814,plombier,1,7251,Plumber,
815,plumber,1,7251,Plumber,
816,plumber - self employed,1,7251,Plumber,
817,plumber pipe fitter,1,7251,Plumber,
818,police,1,4311,Police Officers,
819,policier ðÿ‘®,1,4311,Police Officers,
820,"policy adviser, public administration",1,4164,"Social Policy researchers, consultants and program officers ",
821,policy analyst,1,4164,"Social Policy researchers, consultants and program officers ",
822,porfessor associates = university,1,4011,University professors and lecturers,
823,portfolio manager,1,1112,Financial and investment analysts,
824,post secondary education,1,,,
825,postal clerk,1,1511,"Mail, postal and related workers ",
826,potato farmer,1,821,Managers in agriculture,
827,pour le ménage,1,,,
828,power engineer,1,2133,Electrical and electronics engineers,
829,power lineman,1,7244,Electrical power line and cable workers,
830,pre-school teacher,1,4214,Early childhood educators and assistants,
831,preneur de son,1,5225,Audio and video recording technicians ,
832,prépose ã  l'entretien ménager,1,4412,"Home support workers, housekeepers and related occupations. ",
833,préposé aux bénificiaires,1,4412,"Home support workers, housekeepers and related occupations. ","a ""Beneficiary Attendant"" is similar to a ""Personal Care Attendant"" or ""PSW"" "
834,preposé d'entretien,1,6733,"Janitors, caretakers and building superintendents ",
835,préposé en entretien ménager,1,4412,"Home support workers, housekeepers and related occupations. ",
836,prepose hygiene salubrite hopital,1,6731,Light duty Cleaners,Includes Hospital cleaners
837,preposée aux beneficiaires,1,4412,"Home support workers, housekeepers and related occupations. ",
838,préposée aux bénéficiaires,1,4412,"Home support workers, housekeepers and related occupations. ",
839,préposée aux personnes agées,1,4412,"Home support workers, housekeepers and related occupations. ",
840,president and coo,1,13,"Senior Managers - financial, communications and other business services",
841,primary support staff with community living,1,4412,"Home support workers, housekeepers and related occupations. ",
842,private contractor,1,7205,"Contractors and supervisors, other construction trades installers, repairers and servicers",
843,process safety manager,1,2263,Inspectors in public and environmental health and occupational healthy and safety ,
844,process server deliver document for the court,1,1251,"Court reporters, medical transcriptionists and related occupations ",
845,procurement sales,1,1225,purchasing agents and officers,
846,product manager,1,601,Corporate sales managers ,Includes product manager
847,producteur agricole,1,8252,"Agricultureal service contractors, farm supervisors and specialized livestock workers",
848,production manager,1,911,Manufacturing managers,
849,professeur,1,4011,University professors and lecturers,
850,professeur d'université,1,4011,University professors and lecturers,
851,professeure université,1,4011,University professors and lecturers,
852,professional accountant,1,1111,Financial auditors and Accountants,
853,professional driver,1,7513,Taxi and limousine drivers and chauffeurs. ,
854,professional engineer,1,2131,Civil Engineers,
855,professional services,1,1122,Professional occupations in business management consulting ,
856,professionnel,1,1122,Professional occupations in business management consulting ,
857,professsional,1,1122,Professional occupations in business management consulting ,
858,program assistant,1,4413,Elementary and secondary school teacher assistants,Includes program assistants in the education sector
859,program coordinator,1,1221,Administrative Officers,
860,program coordinator - refugee/immigration,1,4168,Program officers unique to government ,
861,program facilitator at a family resource centre,1,4212,Social and commiunity service workers,
862,programmer,1,2174,Computer programmers and interactive media developers. ,
863,programmeur analyste en géomatique,1,2255,Technical occupations in geomatics and meteorology ,
864,programmeur machine outils,1,2233,Industrial engineering and manufacturing technologists and technicians ,
865,project coordinator,1,711,Construction managers,
866,project coordinator for consulting firm,1,2171,Information systems analysts and consultants ,
867,property manager,1,714,Facility operation and maintenance managers ,
868,propriétaire d'entreprise,1,125,Other business services managers ,
869,provincial govt,1,4168,Program officers unique to government ,
870,psychologue en pratique privée,1,4151,Psychologists,
871,"psychotherapist, high school teacher",1,4151,Psychologists,
872,public,1,4168,program officers unique to government ,
873,public sector administration,1,1221,Administrative Officers,
874,public servant (provincial),1,4168,program officers unique to government ,
875,publicitaire,1,1123,"Professional occupations in advertising, marketing and public relations ",
876,puppetier - do puppet shows,1,5232,"Other performers, n.e.c.",
877,quality assurance manager,1,2233,Industrial engineering and manufacturing technologists and technicians ,Includes quality assurance technologist 
878,quality laboratory affairs manager,1,212,Architecture and science managers ,Includes laboratory managers
879,r&d - software development engineer,1,2173,Computer programmers and interactive media developers. ,
880,radio technologist,1,3215,Medical radiation technologists,"Im assuming this is referring to ""radiologist"" and not radio broadcasting "
881,radiology technologist,1,3215,Medical radiation technologists,
882,rancher,1,821,Managers in agriculture,
883,rcaf,1,4313,Non-commissioned ranks of the Canadian Forces,Royal Canadian Airforce 
884,rcmp,1,4311,Police Officers,
885,real estate,1,6232,Real estate agents and salespersons ,
886,real estate agent,1,6232,Real estate agents and salespersons ,
887,real estate assessor,1,1314,"Assessors, valuators and appraisors ",
888,real estate broker,1,6232,Real estate agents and salespersons ,
889,real estate developer,1,121,"Insurance, real estate and financial brokerage managers ",
890,real estate development,1,121,"Insurance, real estate and financial brokerage managers ",
891,real estate development manager,1,121,"Insurance, real estate and financial brokerage managers ",
892,real estate sales,1,6232,Real estate agents and salespersons ,
893,real estate sales rep.,1,6232,Real estate agents and salespersons ,
894,reciver,1,1521,Shippers and receivers,
895,refrigeration worker,1,7332,Appliance servicers and repairers ,
896,regional manager,1,601,Corporate sales managers ,
897,regional sales manager,1,601,Corporate sales managers ,
898,registered nurse and a oyster-fisherman as well,1,3012,Registered nurses and registered psychiatric nurses,
899,registered practical nurse,1,3012,Registered nurses and registered psychiatric nurses,
900,registrer,1,,,
901,remote survey interviewer,1,1454,Survey interviewers and statistical clerks,
902,renovateur apres sinistre,1,712,Home building and renovation managers,
903,report writer,1,5123,Journalists,
904,représentant,1,6552,Other customer and information services representatives ,
905,représentant d'agence,1,6552,Other customer and information services representatives ,
906,représentant medical,1,3414,Other assisting occupations in support of health services ,
907,"représentante pour une compagnie d,assurance",1,1312,Insurance adjusters and claims examiners,
908,représentante service client,1,6552,Other customer and information services representatives ,
909,research assistant,1,4012,Post-secondary teaching and research assistants,
910,resident attendant,1,4412,"Home support workers, housekeepers and related occupations. ",
911,resident physician,1,3112,General Practitioners and family physicians ,
912,residential support worker,1,4412,"Home support workers, housekeepers and related occupations. ",
913,resource management,1,2223,Forestry technologists and technicians ,
914,respiratory therapist,1,3214,"Respiratory therapists, clinical perfusionists and cardipulmonary technologists",
915,responsable de service de garde en milieu familial subventionné,1,4412,Home childcare providers,
916,ressource humaine,1,1121,Human Resources professionals ,
917,ressources humaines,1,1121,Human Resources professionals ,
918,restoration sales specialist,1,6411,Sales and account representatives - wholesale trade (non-technical) ,
919,retail - warehouse,1,6421,Retail salesperson,
920,retail and student,1,6421,Retail salesperson,
921,retail clerk,1,6421,Retail salesperson,
922,retail management,1,621,Retail and wholesale trade managers,
923,retail manager,1,621,Retail and wholesale trade managers,
924,retail sales,1,6421,Retail salesperson,
925,retail sales manager,1,621,Retail and wholesale trade managers,
926,retail store manager,1,621,Retail and wholesale trade managers,
927,retial,1,6421,Retail salesperson,
928,retired and investor,1,122,"Banking, credit and other investment managers ",
929,retired and working,1,,,
930,retired builder,1,712,Home building and renovation managers,
931,"retired but currently working full time in customer service, home improvement and telecommunications",1,6421,Retail salespersons ,
932,retired but teaching part time.,1,4032,Elementary school and kindergarten teachers,
933,retired contractor,1,7205,"Contractors and supervisors, other construction trades installers, repairers and servicers",
934,retired educator,1,4032,Elementary school and kindergarten teachers,
935,retired law clerk,1,4211,Paralegal and related occupations ,
936,retired lawyer,1,4112,Lawyers and Quebec Notaries,
937,retired military,1,4313,Non-commissioned ranks of the Canadian Armed Forces,
938,retired school principal,1,422,School principals and administrators of elementary and secondary education. ,
939,retired teacher,1,4032,Elementary school and kindergarten teachers,
940,"retired, casual worker",1,,,
941,"retired, farming, and par-time rural mail delivery",1,1512,Letter carriers,Includes rural mail carrier
942,"retired, now consulting in it.",1,2171,Information systems analysts and consultants ,
943,"retired, teaching in 2nd career",1,4032,Elementary school and kindergarten teachers,
944,retired.,1,,,
945,retired/consulting,1,125,Other business services managers,
946,retired4,1,,,
947,retraite,1,,,
948,retraité/ chauffeur,1,7513,Taxi and limousine drivers and chauffeurs. ,
949,risk analyst,1,1112,Financial and investment analysts,
950,rtf  (ressources de type familiale),1,4212,Social and community service workers ,
951,"run an onlie company, i m president of that company",1,125,Other business services managers,
952,rv tech,1,9226,"Supervisors, other mechanical and metal products manufacturing ",
953,safety professional,1,2263,Inspectors in public and environmental health and occupational healthy and safety ,
954,sales (agricultural),1,6221,Technical sales specialists - wholesale trade ,
955,sales associate,1,6421,Retail salespersons,
956,sales engineer,1,6221,Technical sales specialists - wholesale trade ,
957,sales manager,1,621,Retail and wholesale trade managers,
958,sales of electrical products,1,6221,Technical sales specialists - wholesale trade ,
959,sales person,1,6421,Retail salespersons,
960,sales postion,1,6421,Retail salespersons,
961,sales rep & musician,1,6421,Retail salespersons,
962,sales representatives,1,6421,Retail salespersons,
963,sales worker at ikea,1,6421,Retail salespersons,
964,salesman,1,6421,Retail salespersons,
965,salesperson,1,6421,Retail salespersons,
966,salesperson - sales manager/wholesaler for a liquour company,1,6421,Retail salespersons,
967,scheduler at a university,1,1221,Administrative Officers,
968,school,1,,,
969,school receptionist,1,1241,Administrative Assistants,Includes School Secretary 
970,screening officer,1,6541,Security guards and related security service occupations ,
971,seafood worker,1,9463,Fish and seafood plant workers,
972,secrétaire administrative,1,1241,Administrative assistants,
973,secrétaire comptable,1,1311,Accounting technicians and bookkeepers,
974,secteur manufacturier,1,9619,"Other labourers in processing, manufacturing and utilitires ",
975,security consultant,1,6541,Security guards and related security service occupations ,
976,security guard.,1,6541,Security guards and related security service occupations ,
977,security manager,1,6541,Security guards and related security service occupations ,
978,security officer,1,6541,Security guards and related security service occupations ,
979,self employed - farm/agriculture specialist,1,2123,"Agriculture representatives, consultants and specialists",
980,"self employed - human resources, training &development",1,1121,Human resources professionals ,
981,self employed - management and small business owner,1,125,Other business services managers,
982,self employed - tv and media - co-owner of a tv channel,1,512,"Managers - Publishing, motion pictures, broadcasting and performing arts ",
983,self employed bookkeeper,1,1311,Accounting technicians and bookkeepers,
984,self employed healthcare provider,1,3124,Allied primary health practitioners,
985,self employed in human resources,1,1121,Human resources professionals ,
986,self employed minister,1,4154,Professional occupations in religion ,
987,self employed programmer,1,2174,Computer programmers and interactive media developers. ,
988,self employeed - steam cleaning,1,6732,Specialized Cleaners,
989,self-employed (arts),1,5136,"Painters, sculptors and other visual artists ",
990,self-employed and university research assistant,1,4012,Post-secondary teaching and research assistants,
991,"self-employed, general contractor",1,711,Construction Managers,
992,selfemploed,1,,,
993,semi - retired and drive a cab,1,7513,taxi and limousine drivers and chauffeurs. ,
994,semi retired teacher,1,4032,Elementary school and kindergarten teachers,
995,semi-retired: work a very few hours part-time and do volunteer work.,1,,,
996,senior director of finance,1,13,"Senior managers - financial, communications and other business services",
997,senior management in advertising,1,124,"Advertising, marketing and public relations managers",
998,"senior manager, marketing communications",1,124,"Advertising, marketing and public relations managers",
999,senior policy analyst,1,1121,Human resources Professionals ,Includes policy analysts
1000,senior project manager,1,711,Construction Managers,
1001,senior project manager of international development projects,1,4163,Business development officers and marketing researchers and consultants ,
1002,server at a restaurant,1,6513,Food and beverage servers ,
1003,service industry,1,6552,Other customer and information services representatives ,
1004,service technician,1,7445,Other repairers and servicers,
1005,services financiers,1,6235,Financial sales representatives ,
1006,settlement worker and linc instructor,1,4212,Social and community service workers ,
1007,ship's captain,1,731,Managers in transportation ,
1008,shipyard,1,7612,Other trades helpers and labourers,
1009,shop supervisor,1,7301,"Contractors and supervisors, mechanic trades ",includes shop supervisor 
1010,sign language interpreter,1,5125,"Translators, terminologists and interpretors",
1011,signaleur routier,1,7611,Construction trades helpers and labourers ,
1012,skilled trade/manufacturing,1,9619,"Other labourers in processing, manufacturing and utilitires ",
1013,small business owners .(body removers),1,4165,"Health policy researchers, consultants and program officers ",Includes Coroners (who are responsible for body removal?) 
1014,social housing,1,4164,"Social policy researchers, consultants and program officers ",
1015,social work,1,4152,Social workers ,
1016,social work/counsellor,1,4152,Social workers ,
1017,social worker & operate a small business,1,4152,Social workers ,
1018,software,1,2174,Computer programmers and interactive media developers. ,
1019,software developper,1,2174,Computer programmers and interactive media developers. ,
1020,software product manager,1,213,Computer and information systems managers,
1021,software tester,1,2283,Information systems testing technicians ,
1022,sofware developper,1,2174,Computer programmers and interactive media developers,
1023,special education assistant,1,4215,Instructors of persons with disabiltiies ,
1024,special needs on school bus,1,7512,"Bus drivers, subway operators and other transit operators. ",
1025,spécialiste contrôle qualité,1,2233,Industrial engineering and manufacturing technologists and technicians ,
1026,speech and language pathologist,1,3141,Audiologists and speech-language pathologists,
1027,sports retail owner,1,621,Retail and wholsale trade managers ,
1028,sr. b2b inside sales,1,6221,Technical sales specialists - wholesale trade ,
1029,stage hand,1,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts ",
1030,station attendant,1,6621,Service station attendants ,
1031,stay at home dad,1,,,
1032,stay at home mom/rancher,1,821,Managers in agriculture ,
1033,steelworker,1,7201,"Contractors and supervisors, maching, metal forming, shaping and erecting trades and related occupations ",
1034,stevador,1,7533,Boat and cable ferry operators and related occupations ,a Stevador works on the docks loading and unloading cargo 
1035,store clerk,1,1522,Storekeepers and partspersons ,
1036,student (university undergraduate),1,,,
1037,student and care aid,1,4412,"Homre support workers, housekeepers and related occupations ",Personal Care attendant 
1038,student and federal employee,1,4168,Program officers unique to government ,
1039,student federal employee,1,4168,Program officers unique to government ,
1040,student full time working part time in an hospital,1,3414,Other assisting occupations in support of health services ,
1041,student marker,1,4012,Post-secondary teaching and research assistants,
1042,student teacher,1,4012,Post-secondary teaching and research assistants,
1043,student that works,1,,,
1044,"student, however, i work with the federal government part time",1,4168,Program officers unique to government ,
1045,"student, youth care worker",1,4212,Social and community service workers ,
1046,student/ part time worker,1,,,
1047,student/junior policy analyst,1,4164,"Social policy researchers, consultants and program officers",
1048,superviseur des opérations,1,1211,"Supervisors, general office and administrative support workers ",includes operations supervisors
1049,superviseur ville de laval,1,411,Government managers - health and social policy development and program administration ,
1050,supervisor for heavy civil construction,1,7302,"Cotractos and supervisors, heavy equipment operator crews",
1051,supervisor maintenance,1,6315,Cleaning Supervisors,
1052,suppléante enseignement primaire,1,4032,Elementary school and kindergarten teachers,
1053,supply technician for the military,1,4313,Non-commissioned ranks of the Canadian Armed Forces,
1054,surgeon,1,3111,Speicialist physicians ,
1055,surintendant,1,6733,"Janitors, caretakers and building superintendents ",
1056,surintendant aux opérations,1,6733,"Janitors, caretakers and building superintendents ",
1057,survey engineer,1,2131,Civil engineers,
1058,systems engineer,1,2131,Civil engineers,
1059,systems manager,1,213,Computer and information systems managers,
1060,taper,1,7284,"Plasterers, drywall installers and finishers and lathers",
1061,tax auditor,1,1111,Financial auditors and Accountants,
1062,"taxi driver, full time and english tutor, part-time",1,7513,taxi and limousine drivers and chauffeurs. ,
1063,teacher - elementary and secondary,1,4032,Elementary school and kindergarten teachers,
1064,teacher (private),1,4032,Elementary school and kindergarten teachers,
1065,teacher catholic,1,4032,Elementary school and kindergarten teachers,
1066,teacher's aid,1,4413,elementary and secondary school teacher assistants,
1067,teacher's assistant and homemaker,1,4413,elementary and secondary school teacher assistants,
1068,teaching,1,4032,Elementary school and kindergarten teachers,
1069,teaching children programming codes,1,4032,Elementary school and kindergarten teachers,
1070,tech startup,1,213,Computer and information systems managers,
1071,technical analyst,1,2171,Information systems analysts and consultants ,
1072,technical engineer,1,2131,Civil Engineers,
1073,technician technology,1,2283,Information systems testing technicians ,
1074,technicien ã  la fabrication de c'blage,1,2242,Electronic service technicians (housegold and business equipment) ,
1075,technicien comptable,1,1311,Accounting technicians and bookkeepers,
1076,technicien en génie civile,1,2231,Civil engineering technologists and technicians ,
1077,technicien en génie électrique,1,2241,Electrical and electronics engineering technologists and technicians ,
1078,technicien en informatique,1,2283,Information systems testing technicians ,
1079,technicien en mécanique,1,7301,"Contractors and supervisors, mechanic trades ",
1080,technicien en mecanique de batiment,1,7301,"Contractors and supervisors, mechanic trades ",
1081,technicien en télécommunication   â«cable guyâ»,1,7244,Electrical power line and cable workers,
1082,technicien en traitement des eaux,1,9243,Water and waste treatments plant operators ,
1083,technicien informatique,1,2283,Information systems testing technicians ,
1084,technicien service en soin de snté,1,3219,Other medical technologists and technicians (except dental health) ,
1085,technicienne en administration réseau de la santé,1,3219,Other medical technologists and technicians (except dental health) ,
1086,technicienne en laboratoire,1,3219,Other medical technologists and technicians (except dental health) ,
1087,technicienne en organisation scolaire,1,4166,"Education policy researchers, consultants and program officers ",Includes various operations and program coordinators 
1088,technicienne en pharmacie,1,3219,Other medical technologists and technicians (except dental health) ,
1089,technicienne en santé animale,1,3213,Animal health technologists and veterinary technicians,
1090,techniciennes en verification,1,2233,Industrial engineering and manufacturing technologists and technicians ,Includes Quality Assurance technologist 
1091,technitien aux travaux pratiques,1,3219,Other medical technologists and technicians (except dental health) ,
1092,technologist télécomunication,1,7202,"Contractors and supervisors, electrical trades and telecommunications occupations ",
1093,technologue en génie biomédical,1,2241,Electrical and electronics engineering technologists and technicians ,
1094,technology,1,2171,Information systems analysts and consultants ,
1095,technology consultant,1,2171,Information systems analysts and consultants ,
1096,telecommunications rigger,1,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts ","Includes various ""riggers"" "
1097,telecommunications technologist,1,7202,"Contractors and supervisors, electrical trades and telecommunications occupations ",
1098,telephone interviewer - research,1,1454,Survey interviewers and statistical clerks,
1099,textile worker,1,9616,Labourers in textile processing ,
1100,thérapeute en réadaptation physique (temps plein) enseignant collégial (chargé de cours temps partiel),1,3142,Physiotherapists ,
1101,tile setter,1,7611,Construction trades helpers and labourers ,
1102,tim,1,,,
1103,tool and die maker,1,7232,Tool and die makers,
1104,toolmaker,1,7232,Tool and die makers,
1105,trades person,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and services ",
1106,trades trainer,1,4021,college and other vocational instructors ,
1107,tradesman - electrical,1,7202,"Contractors and supervisors, electrical trades and telecommunications occupations ",
1108,tradesman construction,1,7205,"Contractors and supervisors, other construction trades, installers, repairers and services ",
1109,traductrice,1,5125,"Translators, terminologists and interpretors",
1110,trainer for representatives in a call center,1,6314,Customer and information services supervisors,
1111,transportation of foodstuffs,1,7514,Delivery and courier service drivers ,
1112,travail de bureau,1,1411,General office support workers ,
1113,travail de production dans une usine de pate et papier,1,9235,"Pulping, papernaking and coating control operators",
1114,travaille en phsycologie,1,4151,Psychologist,
1115,travailleur autonome,1,,,
1116,travailleur autonome : comptable-fiscaliste,1,1111,financial auditors and Accountants,
1117,travailleur autonome dans le domaine agricole,1,8431,General Farm Workers,
1118,travailleur autonome dans le domaine artistique,1,5136,"Painters, sculptors and other visual artists ",
1119,travailleur autonome dans le domaine événementiel,1,1226,Conference and event planners,
1120,travailleur autonome et aussi avec les enfants,1,,,
1121,travailleur autonome et retraitée du secteur de l'éducation,1,4166,"education policy researchers, consultants and program officers ",
1122,"travailleur autonome, fabrication de bijoux",1,6344,"Jewellers, jewellery and watch repairers and related occupations. ",
1123,travailleur social,1,4152,Social Workers,
1124,"travailleure autonome en administration, comptabilité",1,1111,Financial auditors and Accountants,
1125,travailleuse autonome,1,,,
1126,travailleuse.sociale,1,4152,Social Workers,
1127,truckdriver,1,7511,Transport Truck Drivers ,
1128,trucker,1,7511,Transport Truck Drivers ,
1129,tweed tender,1,6421,Retail salespersons,
1130,underground miner,1,8231,Underground production and development miners,
1131,union representative,1,1121,Human resources professionals ,
1132,union research representative,1,4164,"social policy researchers, consultants and program offices ",
1133,unit clerk in a hospital,1,1252,Health information management occupations ,
1134,university professor,1,4011,University professors and lecturers,
1135,university student,1,,,
1136,university student/security officer,1,6541,Security guards and related security service occupations ,
1137,utilities,1,9613,Labourers in chemical products processing and utilities ,
1138,vendeuse,1,6221,Technical sales specialists - wholesale trade ,
1139,vendeuse dans un commerce,1,6221,Technical sales specialists - wholesale trade ,
1140,vente au details,1,6421,Retail salespersons,
1141,verificatrice,1,2233,Industrial engineering and manufacturing technologists and technicians ,
1142,veterinarian,1,3114,Veterinarians,
1143,vice president,1,15,"Senior Managers - trade, broadcasting and other services, n.e.c. ",
1144,vice president contractor,1,15,"Senior Managers - trade, broadcasting and other services, n.e.c. ",
1145,vice president of a coorporation,1,13,"Senior manager -financial, communications and other business services ",
1146,vice president of operations for an international company,1,13,"Senior manager -financial, communications and other business services ",
1147,vice principal,1,422,School principals and administrators of elementary and secondary education. ,
1148,visitor experience coordinator,1,6552,Other customer and information services representatives ,
1149,visual art and communication,1,5136,"Painters, sculptors and other visual artists ",
1150,vp - global operations,1,15,"Senior Managers - trade, broadcasting and other services, n.e.c. ",
1151,warehouse attendant,1,7452,Material handlers,
1152,warehouse manager,1,714,Facility operation and maintenance managers ,
1153,waste water operator,1,9243,Water and waste treatments plant operators ,
1154,welder (entrepreneur),1,7237,Welders and related machine operators,
1155,weldering or trades,1,7237,Welders and related machine operators,
1156,welding/farming,1,7237,Welders and related machine operators,
1157,wild fire,1,4312,Firefighters,
1158,work at home depot,1,6421,Retail salespersons,
1159,work at insurance,1,1312,Insurance adjusters and claims examiners,
1160,work for a bank,1,1434,"Banking, insurance and other financial clerks ",
1161,work for government,1,4168,Program officers unique to government ,
1162,work for population growth office,1,1411,General office support workers ,"Works with records management, filing etc. "
1163,work for the gov't,1,4168,Program officers unique to government ,
1164,work for the government,1,4168,Program officers unique to government ,
1165,work in a welding fabrication shop,1,9612,Labourers in metal fabrication ,
1166,work in customer service,1,6552,Other customer and information services representatives ,
1167,work in health care,1,3414,Other assisting occupations in support of health services ,
1168,work in retail,1,6421,Retail salespersons,
1169,work in the oil industry,1,8412,Oil and gas well drilling and related workers and services operators ,
1170,working at a nursing home- student,1,3414,Other assisting occupations in support of health services ,
1171,works in a grocery store,1,6622,"Store shelf stockers, clerks and order fillers",
1172,writer,1,5121,Authors and writers,
1173,youth care worker,1,4212,Social and community service workers ,
1174,"zomboni driver, shift duty engineer",1,6722,"Operators and attendants in amusement, recreation and sport ",